"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"대화동218",1,대전광역시 대덕구 늘봄2길 2,,36.36426218,127.41492870,,,042-120,대전광역시,2022-12-15
"대화동219",1,대전광역시 대덕구 늘봄3길 25,,36.36507486,127.41342210,,,042-120,대전광역시,2022-12-15
"대화동220",1,대전광역시 대덕구 늘봄3길 16,,36.36465603,127.41362050,,,042-120,대전광역시,2022-12-15
"대화동221",1,대전광역시 대덕구 동심5길 59,,36.36419280,127.41310550,,,042-120,대전광역시,2022-12-15
"대화동224",1,대전광역시 대덕구 대화2길 41,,36.36554464,127.41308140,,,042-120,대전광역시,2022-12-15
"대화동225",1,대전광역시 대덕구 동심5길 37,,36.36528266,127.41274580,,,042-120,대전광역시,2022-12-15
"대화동226",1,대전광역시 대덕구 동심6길 4,,36.36536703,127.41232280,,,042-120,대전광역시,2022-12-15
"대화동227",1,대전광역시 대덕구 대화1길 2,,36.36589907,127.41274460,,,042-120,대전광역시,2022-12-15
"대화동231",1,대전광역시 대덕구 동심5길 29,,36.36568656,127.41269440,,,042-120,대전광역시,2022-12-15
"대화동233",1,대전광역시 대덕구 동심7길 2,,36.36583592,127.41224060,,,042-120,대전광역시,2022-12-15
"대화동234",1,대전광역시 대덕구 동심7길 9,,36.36537186,127.41196630,,,042-120,대전광역시,2022-12-15
"대화동235",1,대전광역시 대덕구 동심7길 11,,36.36534358,127.41180570,,,042-120,대전광역시,2022-12-15
"대화동236",1,대전광역시 대덕구 동심7길 22,,36.36578890,127.41124200,,,042-120,대전광역시,2022-12-15
"대화동237",1,대전광역시 대덕구 대화1길 17-1,,36.36636988,127.41522960,,,042-120,대전광역시,2022-12-15
"대화동238",1,대전광역시 대덕구 대화15길 91,,36.36659751,127.41507490,,,042-120,대전광역시,2022-12-15
"대화동239",1,대전광역시 대덕구 대화1길 13,,36.36678189,127.41491980,,,042-120,대전광역시,2022-12-15
"대화동240",1,대전광역시 대덕구 대화1길 5,,36.36738477,127.41466010,,,042-120,대전광역시,2022-12-15
"대화동242",1,대전광역시 대덕구 대화15길 122,,36.36655419,127.41613090,,,042-120,대전광역시,2022-12-15
"대화동243",1,대전광역시 대덕구 대화15길 95,,36.36684464,127.41553520,,,042-120,대전광역시,2022-12-15
"대화동244",1,대전광역시 대덕구 대화15길 91-2,,36.36676294,127.41518720,,,042-120,대전광역시,2022-12-15
"대화동246",1,대전광역시 대덕구 대화10길 128,,36.36711409,127.41475670,,,042-120,대전광역시,2022-12-15
"대화동247",1,대전광역시 대덕구 대화10길 96,,36.36720421,127.41579120,,,042-120,대전광역시,2022-12-15
"대화동249",1,대전광역시 대덕구 대화로 29,,36.36740763,127.41638060,,,042-120,대전광역시,2022-12-15
"대화동252",1,대전광역시 대덕구 대화11길 22,,36.36624666,127.41645470,,,042-120,대전광역시,2022-12-15
